 - Love numbers from file:./DATA/REF_6371_loading_love_numbers.txt
 - Green functions for MAX degree:       32768
 - Ice density (kg/m^3):   917.00000000000000     
 - Earth density (kg/m^3):   5505.0609557847711     
 - Load half-amplitude (deg):   2.5370000000000000E-002
 - Ice thickness variation: +1 m/year
 - ======= Grid properties (the grid has costant spacing) =======
 - Min and Max colatitudes (deg):   0.0000000000000000        60.000000000000000     
 - Colatitude increment(deg):   5.0740000000000004E-003
 - Number of grid points:       11825
#
#   Line        colat, deg        vert. vel., mm/yr    hor. vel., mm/yr     geoid vel., mm/yr
#
     71       0.35518000E+00      -0.89270454E-02      -0.32415234E-02       0.37978250E-02
     72       0.36025400E+00      -0.87233088E-02      -0.32059131E-02       0.37317180E-02
     73       0.36532800E+00      -0.86491365E-02      -0.31513041E-02       0.36873182E-02
     74       0.37040200E+00      -0.84756659E-02      -0.31269552E-02       0.36277833E-02
     75       0.37547600E+00      -0.83822917E-02      -0.30695583E-02       0.35819436E-02
     76       0.38055000E+00      -0.82463592E-02      -0.30519007E-02       0.35300430E-02
     77       0.38562400E+00      -0.81284279E-02      -0.29957949E-02       0.34817977E-02
     78       0.39069800E+00      -0.80302835E-02      -0.29798442E-02       0.34374705E-02
     79       0.39577200E+00      -0.78897025E-02      -0.29291309E-02       0.33870284E-02
     80       0.40084600E+00      -0.78229067E-02      -0.29104983E-02       0.33491438E-02
     81       0.40592000E+00      -0.76677286E-02      -0.28683438E-02       0.32977085E-02
     82       0.41099400E+00      -0.76208976E-02      -0.28440553E-02       0.32643466E-02
     83       0.41606800E+00      -0.74630054E-02      -0.28120145E-02       0.32137438E-02
     84       0.42114200E+00      -0.74224939E-02      -0.27809802E-02       0.31826268E-02
     85       0.42621600E+00      -0.72746603E-02      -0.27587232E-02       0.31348310E-02
     86       0.43129000E+00      -0.72275464E-02      -0.27217809E-02       0.31038031E-02
     87       0.43636400E+00      -0.71005287E-02      -0.27072489E-02       0.30604701E-02
     88       0.44143800E+00      -0.70372457E-02      -0.26668020E-02       0.30279203E-02
     89       0.44651200E+00      -0.69375268E-02      -0.26567281E-02       0.29900235E-02
     90       0.45158600E+00      -0.68536085E-02      -0.26160808E-02       0.29551664E-02
     91       0.45666000E+00      -0.67822157E-02      -0.26067395E-02       0.29228065E-02
     92       0.46173400E+00      -0.66788421E-02      -0.25692909E-02       0.28857695E-02
     93       0.46680800E+00      -0.66314218E-02      -0.25573007E-02       0.28581860E-02
     94       0.47188200E+00      -0.65147282E-02      -0.25257758E-02       0.28198982E-02
     95       0.47695600E+00      -0.64827753E-02      -0.25087799E-02       0.27956671E-02
     96       0.48203000E+00      -0.63621505E-02      -0.24846599E-02       0.27575848E-02
     97       0.48710400E+00      -0.63350573E-02      -0.24617471E-02       0.27349478E-02
     98       0.49217800E+00      -0.62208571E-02      -0.24450066E-02       0.26986867E-02
     99       0.49725200E+00      -0.61882906E-02      -0.24167984E-02       0.26759333E-02
    100       0.50232600E+00      -0.60894904E-02      -0.24059851E-02       0.26428907E-02
    101       0.50740000E+00      -0.60435695E-02      -0.23743899E-02       0.26187083E-02
    102       0.51247400E+00      -0.59658619E-02      -0.23670103E-02       0.25897565E-02
    103       0.51754800E+00      -0.59026790E-02      -0.23347180E-02       0.25634748E-02
    104       0.52262200E+00      -0.58473963E-02      -0.23278262E-02       0.25387879E-02
    105       0.52769600E+00      -0.57675954E-02      -0.22976654E-02       0.25104716E-02
    106       0.53277000E+00      -0.57316403E-02      -0.22885169E-02       0.24895139E-02
    107       0.53784400E+00      -0.56399823E-02      -0.22628216E-02       0.24598928E-02
    108       0.54291800E+00      -0.56167220E-02      -0.22494480E-02       0.24415624E-02
    109       0.54799200E+00      -0.55207869E-02      -0.22295685E-02       0.24118220E-02
    110       0.55306600E+00      -0.55016652E-02      -0.22111526E-02       0.23947102E-02
    111       0.55814000E+00      -0.54100191E-02      -0.21972079E-02       0.23661971E-02
    112       0.56321400E+00      -0.53864977E-02      -0.21741908E-02       0.23489001E-02
    113       0.56828800E+00      -0.53067493E-02      -0.21651022E-02       0.23228091E-02
    114       0.57336200E+00      -0.52721420E-02      -0.21390117E-02       0.23042232E-02
    115       0.57843600E+00      -0.52093128E-02      -0.21327956E-02       0.22813347E-02
    116       0.58351000E+00      -0.51601223E-02      -0.21058500E-02       0.22608710E-02
    117       0.58858400E+00      -0.51156658E-02      -0.21000922E-02       0.22413935E-02
    118       0.59365800E+00      -0.50521594E-02      -0.20746745E-02       0.22190704E-02
    119       0.59873200E+00      -0.50238091E-02      -0.20670738E-02       0.22026155E-02
    120       0.60380600E+00      -0.49497481E-02      -0.20451985E-02       0.21790151E-02
    121       0.60888000E+00      -0.49321821E-02      -0.20340595E-02       0.21647046E-02
    122       0.61395400E+00      -0.48538068E-02      -0.20169469E-02       0.21408093E-02
    123       0.61902800E+00      -0.48399460E-02      -0.20015155E-02       0.21274836E-02
    124       0.62410200E+00      -0.47644720E-02      -0.19893602E-02       0.21044340E-02
    125       0.62917600E+00      -0.47470979E-02      -0.19699387E-02       0.20909127E-02
    126       0.63425000E+00      -0.46810758E-02      -0.19619141E-02       0.20697436E-02
    127       0.63932400E+00      -0.46544006E-02      -0.19397408E-02       0.20550774E-02
    128       0.64439800E+00      -0.46022995E-02      -0.19342251E-02       0.20364904E-02
    129       0.64947200E+00      -0.45631509E-02      -0.19111557E-02       0.20201519E-02
    130       0.65454600E+00      -0.45264650E-02      -0.19061224E-02       0.20043707E-02
    131       0.65962000E+00      -0.44748448E-02      -0.18841919E-02       0.19863443E-02
    132       0.66469400E+00      -0.44518915E-02      -0.18776691E-02       0.19730827E-02
    133       0.66976800E+00      -0.43908166E-02      -0.18586353E-02       0.19538388E-02
    134       0.67484200E+00      -0.43772381E-02      -0.18491335E-02       0.19423813E-02
    135       0.67991600E+00      -0.43119307E-02      -0.18341019E-02       0.19227457E-02
    136       0.68499000E+00      -0.43017589E-02      -0.18209165E-02       0.19121188E-02
    137       0.69006400E+00      -0.42383911E-02      -0.18101248E-02       0.18930711E-02
    138       0.69513800E+00      -0.42254174E-02      -0.17934537E-02       0.18822630E-02
    139       0.70021200E+00      -0.41697053E-02      -0.17862561E-02       0.18647103E-02
    140       0.70528600E+00      -0.41488433E-02      -0.17671151E-02       0.18528909E-02
    141       0.71036000E+00      -0.41048018E-02      -0.17621603E-02       0.18374673E-02
    142       0.71543400E+00      -0.40731464E-02      -0.17421226E-02       0.18241579E-02
    143       0.72050800E+00      -0.40422712E-02      -0.17376796E-02       0.18110929E-02
    144       0.72558200E+00      -0.39996346E-02      -0.17185052E-02       0.17962525E-02
    145       0.73065600E+00      -0.39806711E-02      -0.17128573E-02       0.17853340E-02
    146       0.73573000E+00      -0.39295019E-02      -0.16960969E-02       0.17693463E-02
    147       0.74080400E+00      -0.39188268E-02      -0.16879175E-02       0.17599815E-02
    148       0.74587800E+00      -0.38635544E-02      -0.16745784E-02       0.17435495E-02
    149       0.75095200E+00      -0.38560620E-02      -0.16632048E-02       0.17349079E-02
