 - Love numbers from file:./DATA/REF_6371_loading_love_numbers.txt
 - Green functions for MAX degree:       32768
 - Ice density (kg/m^3):   917.00000000000000     
 - Earth density (kg/m^3):   5505.0609557847711     
 - Load half-amplitude (deg):   2.5370000000000000E-002
 - Ice thickness variation: +1 m/year
 - ======= Grid properties (the grid has costant spacing) =======
 - Min and Max colatitudes (deg):   0.0000000000000000        60.000000000000000     
 - Colatitude increment(deg):   5.0740000000000004E-003
 - Number of grid points:       11825
#
#   Line        colat, deg        vert. vel., mm/yr    hor. vel., mm/yr     geoid vel., mm/yr
#
   2643       0.13405508E+02      -0.70854145E-04      -0.15683821E-04       0.42361850E-04
   2644       0.13410582E+02      -0.70653034E-04      -0.15753310E-04       0.42299741E-04
   2645       0.13415656E+02      -0.70731958E-04      -0.15651140E-04       0.42282703E-04
   2646       0.13420730E+02      -0.70672821E-04      -0.15735870E-04       0.42243480E-04
   2647       0.13425804E+02      -0.70602131E-04      -0.15629185E-04       0.42202424E-04
   2648       0.13430878E+02      -0.70691866E-04      -0.15707525E-04       0.42187197E-04
   2649       0.13435952E+02      -0.70481721E-04      -0.15617826E-04       0.42123756E-04
   2650       0.13441026E+02      -0.70693712E-04      -0.15669637E-04       0.42128244E-04
   2651       0.13446100E+02      -0.70385647E-04      -0.15614556E-04       0.42049100E-04
   2652       0.13451174E+02      -0.70665830E-04      -0.15625717E-04       0.42064606E-04
   2653       0.13456248E+02      -0.70323335E-04      -0.15615059E-04       0.41979972E-04
   2654       0.13461322E+02      -0.70602428E-04      -0.15580635E-04       0.41995351E-04
   2655       0.13466396E+02      -0.70296612E-04      -0.15614188E-04       0.41916665E-04
   2656       0.13471470E+02      -0.70505744E-04      -0.15539522E-04       0.41920837E-04
   2657       0.13476544E+02      -0.70299310E-04      -0.15607128E-04       0.41858186E-04
   2658       0.13481618E+02      -0.70385519E-04      -0.15506609E-04       0.41842634E-04
   2659       0.13486692E+02      -0.70318670E-04      -0.15590471E-04       0.41802484E-04
   2660       0.13491766E+02      -0.70256792E-04      -0.15484282E-04       0.41763159E-04
   2661       0.13496840E+02      -0.70338232E-04      -0.15562988E-04       0.41746911E-04
   2662       0.13501914E+02      -0.70136500E-04      -0.15472547E-04       0.41685136E-04
   2663       0.13506988E+02      -0.70341547E-04      -0.15525898E-04       0.41688820E-04
   2664       0.13512062E+02      -0.70039663E-04      -0.15469033E-04       0.41610983E-04
   2665       0.13517136E+02      -0.70315876E-04      -0.15482587E-04       0.41626162E-04
   2666       0.13522210E+02      -0.69976009E-04      -0.15469534E-04       0.41542262E-04
   2667       0.13527284E+02      -0.70255055E-04      -0.15437842E-04       0.41557945E-04
   2668       0.13532358E+02      -0.69947790E-04      -0.15468957E-04       0.41479338E-04
   2669       0.13537432E+02      -0.70160861E-04      -0.15396770E-04       0.41484455E-04
   2670       0.13542506E+02      -0.69949299E-04      -0.15462471E-04       0.41421290E-04
   2671       0.13547580E+02      -0.70042598E-04      -0.15363650E-04       0.41407189E-04
   2672       0.13552654E+02      -0.69968166E-04      -0.15446595E-04       0.41366131E-04
   2673       0.13557728E+02      -0.69914986E-04      -0.15340967E-04       0.41328515E-04
   2674       0.13562802E+02      -0.69988163E-04      -0.15419976E-04       0.41311248E-04
   2675       0.13567876E+02      -0.69794832E-04      -0.15328863E-04       0.41251135E-04
   2676       0.13572950E+02      -0.69992858E-04      -0.15383693E-04       0.41254000E-04
   2677       0.13578024E+02      -0.69697247E-04      -0.15325104E-04       0.41177482E-04
   2678       0.13583098E+02      -0.69969319E-04      -0.15341003E-04       0.41192305E-04
   2679       0.13588172E+02      -0.69632245E-04      -0.15325593E-04       0.41109165E-04
   2680       0.13593246E+02      -0.69911014E-04      -0.15296608E-04       0.41125112E-04
   2681       0.13598320E+02      -0.69602502E-04      -0.15325291E-04       0.41046614E-04
   2682       0.13603394E+02      -0.69819271E-04      -0.15255591E-04       0.41052636E-04
   2683       0.13608468E+02      -0.69602767E-04      -0.15319359E-04       0.40988986E-04
   2684       0.13613542E+02      -0.69702954E-04      -0.15222270E-04       0.40976302E-04
   2685       0.13618616E+02      -0.69621065E-04      -0.15304242E-04       0.40934353E-04
   2686       0.13623690E+02      -0.69576459E-04      -0.15199230E-04       0.40898425E-04
   2687       0.13628764E+02      -0.69641405E-04      -0.15278468E-04       0.40880143E-04
   2688       0.13633838E+02      -0.69456456E-04      -0.15186744E-04       0.40821687E-04
   2689       0.13638912E+02      -0.69647388E-04      -0.15242976E-04       0.40823719E-04
   2690       0.13643986E+02      -0.69358135E-04      -0.15182715E-04       0.40748531E-04
   2691       0.13649060E+02      -0.69625900E-04      -0.15200896E-04       0.40762969E-04
   2692       0.13654134E+02      -0.69291786E-04      -0.15183155E-04       0.40680613E-04
   2693       0.13659208E+02      -0.69570054E-04      -0.15156841E-04       0.40696787E-04
   2694       0.13664282E+02      -0.69260499E-04      -0.15183087E-04       0.40618428E-04
   2695       0.13669356E+02      -0.69480731E-04      -0.15115866E-04       0.40625314E-04
   2696       0.13674430E+02      -0.69259482E-04      -0.15177662E-04       0.40561207E-04
   2697       0.13679504E+02      -0.69366361E-04      -0.15082327E-04       0.40549905E-04
   2698       0.13684578E+02      -0.69277154E-04      -0.15163260E-04       0.40507085E-04
   2699       0.13689652E+02      -0.69241008E-04      -0.15058905E-04       0.40472823E-04
   2700       0.13694726E+02      -0.69297773E-04      -0.15138290E-04       0.40453530E-04
   2701       0.13699800E+02      -0.69121196E-04      -0.15046003E-04       0.40396725E-04
   2702       0.13704874E+02      -0.69304982E-04      -0.15103554E-04       0.40397911E-04
   2703       0.13709948E+02      -0.69022182E-04      -0.15041660E-04       0.40324065E-04
   2704       0.13715022E+02      -0.69285498E-04      -0.15062053E-04       0.40338090E-04
   2705       0.13720096E+02      -0.68954524E-04      -0.15042001E-04       0.40256541E-04
   2706       0.13725170E+02      -0.69232091E-04      -0.15018312E-04       0.40272905E-04
   2707       0.13730244E+02      -0.68921717E-04      -0.15042110E-04       0.40194715E-04
   2708       0.13735318E+02      -0.69145200E-04      -0.14977356E-04       0.40202424E-04
   2709       0.13740392E+02      -0.68919423E-04      -0.15037139E-04       0.40137889E-04
   2710       0.13745466E+02      -0.69032819E-04      -0.14943575E-04       0.40127935E-04
   2711       0.13750540E+02      -0.68936460E-04      -0.15023400E-04       0.40084262E-04
   2712       0.13755614E+02      -0.68908679E-04      -0.14919743E-04       0.40051644E-04
   2713       0.13760688E+02      -0.68957340E-04      -0.14999193E-04       0.40031345E-04
   2714       0.13765762E+02      -0.68789144E-04      -0.14906393E-04       0.39976184E-04
   2715       0.13770836E+02      -0.68965762E-04      -0.14965181E-04       0.39976513E-04
   2716       0.13775910E+02      -0.68689529E-04      -0.14901701E-04       0.39904019E-04
   2717       0.13780984E+02      -0.68948282E-04      -0.14924240E-04       0.39917604E-04
   2718       0.13786058E+02      -0.68620645E-04      -0.14901905E-04       0.39836885E-04
   2719       0.13791132E+02      -0.68897336E-04      -0.14880803E-04       0.39853401E-04
   2720       0.13796206E+02      -0.68586386E-04      -0.14902156E-04       0.39775410E-04
   2721       0.13801280E+02      -0.68812929E-04      -0.14839863E-04       0.39783903E-04
   2722       0.13806354E+02      -0.68582860E-04      -0.14897607E-04       0.39718967E-04
   2723       0.13811428E+02      -0.68702616E-04      -0.14805842E-04       0.39710326E-04
   2724       0.13816502E+02      -0.68599288E-04      -0.14884510E-04       0.39665822E-04
   2725       0.13821576E+02      -0.68579788E-04      -0.14781605E-04       0.39634824E-04
   2726       0.13826650E+02      -0.68620441E-04      -0.14861055E-04       0.39613524E-04
   2727       0.13831724E+02      -0.68460641E-04      -0.14767809E-04       0.39560001E-04
   2728       0.13836798E+02      -0.68630082E-04      -0.14827772E-04       0.39559462E-04
   2729       0.13841872E+02      -0.68360532E-04      -0.14762771E-04       0.39488328E-04
   2730       0.13846946E+02      -0.68614618E-04      -0.14787409E-04       0.39501447E-04
   2731       0.13852020E+02      -0.68290515E-04      -0.14762842E-04       0.39421581E-04
   2732       0.13857094E+02      -0.68566160E-04      -0.14744309E-04       0.39438212E-04
   2733       0.13862168E+02      -0.68254871E-04      -0.14763241E-04       0.39360451E-04
   2734       0.13867242E+02      -0.68484281E-04      -0.14703425E-04       0.39369687E-04
   2735       0.13872316E+02      -0.68250151E-04      -0.14759127E-04       0.39304380E-04
   2736       0.13877390E+02      -0.68376100E-04      -0.14669212E-04       0.39297017E-04
   2737       0.13882464E+02      -0.68265978E-04      -0.14746694E-04       0.39251701E-04
   2738       0.13887538E+02      -0.68254658E-04      -0.14644616E-04       0.39222300E-04
   2739       0.13892612E+02      -0.68287388E-04      -0.14724026E-04       0.39200006E-04
   2740       0.13897686E+02      -0.68135977E-04      -0.14630423E-04       0.39148113E-04
   2741       0.13902760E+02      -0.68298217E-04      -0.14691519E-04       0.39146695E-04
   2742       0.13907834E+02      -0.68035440E-04      -0.14625082E-04       0.39076930E-04
   2743       0.13912908E+02      -0.68284736E-04      -0.14651793E-04       0.39089559E-04
   2744       0.13917982E+02      -0.67964333E-04      -0.14625062E-04       0.39010568E-04
   2745       0.13923056E+02      -0.68238737E-04      -0.14609095E-04       0.39027278E-04
   2746       0.13928130E+02      -0.67927314E-04      -0.14625648E-04       0.38949774E-04
   2747       0.13933204E+02      -0.68159368E-04      -0.14568340E-04       0.38959716E-04
   2748       0.13938278E+02      -0.67921375E-04      -0.14622010E-04       0.38894067E-04
   2749       0.13943352E+02      -0.68053312E-04      -0.14534004E-04       0.38887946E-04
   2750       0.13948426E+02      -0.67936538E-04      -0.14610287E-04       0.38841840E-04
   2751       0.13953500E+02      -0.67933259E-04      -0.14509118E-04       0.38814011E-04
   2752       0.13958574E+02      -0.67958116E-04      -0.14588455E-04       0.38790731E-04
   2753       0.13963648E+02      -0.67815042E-04      -0.14494587E-04       0.38740459E-04
   2754       0.13968722E+02      -0.67970026E-04      -0.14556779E-04       0.38738154E-04
   2755       0.13973796E+02      -0.67714064E-04      -0.14488994E-04       0.38669766E-04
   2756       0.13978870E+02      -0.67958413E-04      -0.14517749E-04       0.38681879E-04
   2757       0.13983944E+02      -0.67641831E-04      -0.14488921E-04       0.38603784E-04
   2758       0.13989018E+02      -0.67914763E-04      -0.14475514E-04       0.38620539E-04
   2759       0.13994092E+02      -0.67603370E-04      -0.14489727E-04       0.38543322E-04
   2760       0.13999166E+02      -0.67837808E-04      -0.14434946E-04       0.38553929E-04
   2761       0.14004240E+02      -0.67596110E-04      -0.14486589E-04       0.38487966E-04
   2762       0.14009314E+02      -0.67733795E-04      -0.14400540E-04       0.38483053E-04
   2763       0.14014388E+02      -0.67610478E-04      -0.14475595E-04       0.38436178E-04
   2764       0.14019462E+02      -0.67615061E-04      -0.14375402E-04       0.38409898E-04
   2765       0.14024536E+02      -0.67632068E-04      -0.14454616E-04       0.38385639E-04
   2766       0.14029610E+02      -0.67497245E-04      -0.14360558E-04       0.38336979E-04
   2767       0.14034684E+02      -0.67644892E-04      -0.14423788E-04       0.38333779E-04
   2768       0.14039758E+02      -0.67395758E-04      -0.14354721E-04       0.38266775E-04
   2769       0.14044832E+02      -0.67634982E-04      -0.14385468E-04       0.38278350E-04
   2770       0.14049906E+02      -0.67322318E-04      -0.14354589E-04       0.38201171E-04
   2771       0.14054980E+02      -0.67593531E-04      -0.14343708E-04       0.38217936E-04
   2772       0.14060054E+02      -0.67282313E-04      -0.14355593E-04       0.38141034E-04
   2773       0.14065128E+02      -0.67518863E-04      -0.14303331E-04       0.38152268E-04
   2774       0.14070202E+02      -0.67273608E-04      -0.14352924E-04       0.38086022E-04
   2775       0.14075276E+02      -0.67416792E-04      -0.14268847E-04       0.38082281E-04
   2776       0.14080350E+02      -0.67287038E-04      -0.14342620E-04       0.38034658E-04
   2777       0.14085424E+02      -0.67299300E-04      -0.14243439E-04       0.38009902E-04
   2778       0.14090498E+02      -0.67308485E-04      -0.14322453E-04       0.37984674E-04
   2779       0.14095572E+02      -0.67181826E-04      -0.14228247E-04       0.37937615E-04
   2780       0.14100646E+02      -0.67322068E-04      -0.14292428E-04       0.37933513E-04
   2781       0.14105720E+02      -0.67079781E-04      -0.14222115E-04       0.37867899E-04
   2782       0.14110794E+02      -0.67313722E-04      -0.14254774E-04       0.37878914E-04
   2783       0.14115868E+02      -0.67005083E-04      -0.14221859E-04       0.37802671E-04
   2784       0.14120942E+02      -0.67274357E-04      -0.14213441E-04       0.37819413E-04
   2785       0.14126016E+02      -0.66963477E-04      -0.14222985E-04       0.37742854E-04
   2786       0.14131090E+02      -0.67201894E-04      -0.14173205E-04       0.37754677E-04
   2787       0.14136164E+02      -0.66953259E-04      -0.14220701E-04       0.37688175E-04
   2788       0.14141238E+02      -0.67101722E-04      -0.14138587E-04       0.37685572E-04
   2789       0.14146312E+02      -0.66965672E-04      -0.14211001E-04       0.37637224E-04
   2790       0.14151386E+02      -0.66985464E-04      -0.14112844E-04       0.37613966E-04
   2791       0.14156460E+02      -0.66986897E-04      -0.14191561E-04       0.37587778E-04
   2792       0.14161534E+02      -0.66868351E-04      -0.14097230E-04       0.37542311E-04
   2793       0.14166608E+02      -0.67001169E-04      -0.14162259E-04       0.37537300E-04
   2794       0.14171682E+02      -0.66765784E-04      -0.14090722E-04       0.37473082E-04
   2795       0.14176756E+02      -0.66994335E-04      -0.14125197E-04       0.37483514E-04
   2796       0.14181830E+02      -0.66689870E-04      -0.14090252E-04       0.37408227E-04
   2797       0.14186904E+02      -0.66957032E-04      -0.14084224E-04       0.37424913E-04
   2798       0.14191978E+02      -0.66646701E-04      -0.14091406E-04       0.37348725E-04
   2799       0.14197052E+02      -0.66886791E-04      -0.14044064E-04       0.37361098E-04
   2800       0.14202126E+02      -0.66635000E-04      -0.14089415E-04       0.37294369E-04
   2801       0.14207200E+02      -0.66788572E-04      -0.14009253E-04       0.37292868E-04
   2802       0.14212274E+02      -0.66646419E-04      -0.14080233E-04       0.37243818E-04
   2803       0.14217348E+02      -0.66673636E-04      -0.13983114E-04       0.37222033E-04
   2804       0.14222422E+02      -0.66667439E-04      -0.14061443E-04       0.37194895E-04
   2805       0.14227496E+02      -0.66556997E-04      -0.13967017E-04       0.37151008E-04
   2806       0.14232570E+02      -0.66682422E-04      -0.14032799E-04       0.37145083E-04
   2807       0.14237644E+02      -0.66454036E-04      -0.13960068E-04       0.37082266E-04
   2808       0.14242718E+02      -0.66677137E-04      -0.13996277E-04       0.37092094E-04
   2809       0.14247792E+02      -0.66377034E-04      -0.13959322E-04       0.37017781E-04
   2810       0.14252866E+02      -0.66641959E-04      -0.13955625E-04       0.37034379E-04
   2811       0.14257940E+02      -0.66332422E-04      -0.13960445E-04       0.36958589E-04
   2812       0.14263014E+02      -0.66574029E-04      -0.13915514E-04       0.36971476E-04
   2813       0.14268088E+02      -0.66319341E-04      -0.13958694E-04       0.36904549E-04
   2814       0.14273162E+02      -0.66477883E-04      -0.13880489E-04       0.36904114E-04
   2815       0.14278236E+02      -0.66329851E-04      -0.13949985E-04       0.36854384E-04
   2816       0.14283310E+02      -0.66364415E-04      -0.13853940E-04       0.36834047E-04
   2817       0.14288384E+02      -0.66350739E-04      -0.13931814E-04       0.36805969E-04
   2818       0.14293458E+02      -0.66248412E-04      -0.13837347E-04       0.36763650E-04
   2819       0.14298532E+02      -0.66366500E-04      -0.13903814E-04       0.36756807E-04
   2820       0.14303606E+02      -0.66145220E-04      -0.13829948E-04       0.36695394E-04
   2821       0.14308680E+02      -0.66362833E-04      -0.13867833E-04       0.36704600E-04
   2822       0.14313754E+02      -0.66067286E-04      -0.13828916E-04       0.36631278E-04
   2823       0.14318828E+02      -0.66329860E-04      -0.13827516E-04       0.36647756E-04
   2824       0.14323902E+02      -0.66021366E-04      -0.13830001E-04       0.36572390E-04
   2825       0.14328976E+02      -0.66264340E-04      -0.13787481E-04       0.36585754E-04
   2826       0.14334050E+02      -0.66007012E-04      -0.13828489E-04       0.36518657E-04
   2827       0.14339124E+02      -0.66170384E-04      -0.13752274E-04       0.36519254E-04
   2828       0.14344198E+02      -0.66016694E-04      -0.13820262E-04       0.36468868E-04
   2829       0.14349272E+02      -0.66058515E-04      -0.13725350E-04       0.36449950E-04
   2830       0.14354346E+02      -0.66037505E-04      -0.13802730E-04       0.36420945E-04
   2831       0.14359420E+02      -0.65943286E-04      -0.13708297E-04       0.36380182E-04
   2832       0.14364494E+02      -0.66054083E-04      -0.13775403E-04       0.36372417E-04
   2833       0.14369568E+02      -0.65839996E-04      -0.13700480E-04       0.36312411E-04
   2834       0.14374642E+02      -0.66052067E-04      -0.13740005E-04       0.36320975E-04
   2835       0.14379716E+02      -0.65761246E-04      -0.13699194E-04       0.36248663E-04
   2836       0.14384790E+02      -0.66021337E-04      -0.13700075E-04       0.36264989E-04
   2837       0.14389864E+02      -0.65714106E-04      -0.13700270E-04       0.36190075E-04
   2838       0.14394938E+02      -0.65958274E-04      -0.13660172E-04       0.36203877E-04
   2839       0.14400012E+02      -0.65698537E-04      -0.13699026E-04       0.36136641E-04
   2840       0.14405086E+02      -0.65866569E-04      -0.13624844E-04       0.36138234E-04
   2841       0.14410160E+02      -0.65707414E-04      -0.13691314E-04       0.36087214E-04
   2842       0.14415234E+02      -0.65756370E-04      -0.13597603E-04       0.36069690E-04
   2843       0.14420308E+02      -0.65728144E-04      -0.13674457E-04       0.36039770E-04
   2844       0.14425382E+02      -0.65641989E-04      -0.13580142E-04       0.36000549E-04
   2845       0.14430456E+02      -0.65745514E-04      -0.13647849E-04       0.35991860E-04
   2846       0.14435530E+02      -0.65538670E-04      -0.13571954E-04       0.35933263E-04
   2847       0.14440604E+02      -0.65745119E-04      -0.13613085E-04       0.35941167E-04
   2848       0.14445678E+02      -0.65459154E-04      -0.13570450E-04       0.35869880E-04
   2849       0.14450752E+02      -0.65716602E-04      -0.13573598E-04       0.35886025E-04
   2850       0.14455826E+02      -0.65410819E-04      -0.13571550E-04       0.35811588E-04
   2851       0.14460900E+02      -0.65655979E-04      -0.13533886E-04       0.35825794E-04
   2852       0.14465974E+02      -0.65394029E-04      -0.13570602E-04       0.35758446E-04
   2853       0.14471048E+02      -0.65566520E-04      -0.13498492E-04       0.35761000E-04
   2854       0.14476122E+02      -0.65402063E-04      -0.13563432E-04       0.35709371E-04
   2855       0.14481196E+02      -0.65458000E-04      -0.13470987E-04       0.35693214E-04
   2856       0.14486270E+02      -0.65422650E-04      -0.13547281E-04       0.35662391E-04
   2857       0.14491344E+02      -0.65344483E-04      -0.13453162E-04       0.35624699E-04
   2858       0.14496418E+02      -0.65440733E-04      -0.13521426E-04       0.35615083E-04
   2859       0.14501492E+02      -0.65241147E-04      -0.13444636E-04       0.35557897E-04
   2860       0.14506566E+02      -0.65441872E-04      -0.13487334E-04       0.35565124E-04
   2861       0.14511640E+02      -0.65160865E-04      -0.13442941E-04       0.35494879E-04
   2862       0.14516714E+02      -0.65415489E-04      -0.13448334E-04       0.35510814E-04
   2863       0.14521788E+02      -0.65111313E-04      -0.13444083E-04       0.35436879E-04
   2864       0.14526862E+02      -0.65357239E-04      -0.13408856E-04       0.35451453E-04
   2865       0.14531936E+02      -0.65093251E-04      -0.13443447E-04       0.35384021E-04
   2866       0.14537010E+02      -0.65269979E-04      -0.13373441E-04       0.35387501E-04
   2867       0.14542084E+02      -0.65100365E-04      -0.13436833E-04       0.35335287E-04
   2868       0.14547158E+02      -0.65163107E-04      -0.13345708E-04       0.35320469E-04
   2869       0.14552232E+02      -0.65120707E-04      -0.13421405E-04       0.35288757E-04
   2870       0.14557306E+02      -0.65050431E-04      -0.13327552E-04       0.35252580E-04
   2871       0.14562380E+02      -0.65139388E-04      -0.13396323E-04       0.35242036E-04
   2872       0.14567454E+02      -0.64947056E-04      -0.13318712E-04       0.35186263E-04
   2873       0.14572528E+02      -0.65141943E-04      -0.13362932E-04       0.35192797E-04
   2874       0.14577602E+02      -0.64865975E-04      -0.13316840E-04       0.35123608E-04
   2875       0.14582676E+02      -0.65117582E-04      -0.13324449E-04       0.35139304E-04
   2876       0.14587750E+02      -0.64815153E-04      -0.13318034E-04       0.35065897E-04
   2877       0.14592824E+02      -0.65061609E-04      -0.13285241E-04       0.35080803E-04
   2878       0.14597898E+02      -0.64795741E-04      -0.13317714E-04       0.35013316E-04
   2879       0.14602972E+02      -0.64976469E-04      -0.13249837E-04       0.35017687E-04
   2880       0.14608046E+02      -0.64801830E-04      -0.13311662E-04       0.34964913E-04
   2881       0.14613120E+02      -0.64871183E-04      -0.13221908E-04       0.34951407E-04
   2882       0.14618194E+02      -0.64821799E-04      -0.13296965E-04       0.34918820E-04
   2883       0.14623268E+02      -0.64759299E-04      -0.13203443E-04       0.34884142E-04
   2884       0.14628342E+02      -0.64840937E-04      -0.13272671E-04       0.34872670E-04
   2885       0.14633416E+02      -0.64655835E-04      -0.13194304E-04       0.34818310E-04
   2886       0.14638490E+02      -0.64844763E-04      -0.13239997E-04       0.34824135E-04
   2887       0.14643564E+02      -0.64573897E-04      -0.13192264E-04       0.34756018E-04
   2888       0.14648638E+02      -0.64822286E-04      -0.13202054E-04       0.34771447E-04
   2889       0.14653712E+02      -0.64521729E-04      -0.13193508E-04       0.34698593E-04
   2890       0.14658786E+02      -0.64768468E-04      -0.13163139E-04       0.34713796E-04
   2891       0.14663860E+02      -0.64500865E-04      -0.13193500E-04       0.34646282E-04
   2892       0.14668934E+02      -0.64685346E-04      -0.13127769E-04       0.34651509E-04
   2893       0.14674008E+02      -0.64505804E-04      -0.13188002E-04       0.34598199E-04
   2894       0.14679082E+02      -0.64581562E-04      -0.13099660E-04       0.34585977E-04
   2895       0.14684156E+02      -0.64525253E-04      -0.13174028E-04       0.34552530E-04
   2896       0.14689230E+02      -0.64470398E-04      -0.13080893E-04       0.34519337E-04
   2897       0.14694304E+02      -0.64544688E-04      -0.13150515E-04       0.34506938E-04
   2898       0.14699378E+02      -0.64366781E-04      -0.13071451E-04       0.34453990E-04
   2899       0.14704452E+02      -0.64549625E-04      -0.13118555E-04       0.34459092E-04
   2900       0.14709526E+02      -0.64283914E-04      -0.13069226E-04       0.34392060E-04
   2901       0.14714600E+02      -0.64528883E-04      -0.13081150E-04       0.34407196E-04
   2902       0.14719674E+02      -0.64230312E-04      -0.13070494E-04       0.34334918E-04
   2903       0.14724748E+02      -0.64477088E-04      -0.13042524E-04       0.34350384E-04
   2904       0.14729822E+02      -0.64207893E-04      -0.13070762E-04       0.34282871E-04
   2905       0.14734896E+02      -0.64395879E-04      -0.13007177E-04       0.34288920E-04
   2906       0.14739970E+02      -0.64211556E-04      -0.13065777E-04       0.34235099E-04
   2907       0.14745044E+02      -0.64293516E-04      -0.12978868E-04       0.34224133E-04
   2908       0.14750118E+02      -0.64230347E-04      -0.13052482E-04       0.34189841E-04
   2909       0.14755192E+02      -0.64183012E-04      -0.12959769E-04       0.34158116E-04
   2910       0.14760266E+02      -0.64249935E-04      -0.13029705E-04       0.34144791E-04
   2911       0.14765340E+02      -0.64079191E-04      -0.12949981E-04       0.34093254E-04
   2912       0.14770414E+02      -0.64255846E-04      -0.12998415E-04       0.34097620E-04
   2913       0.14775488E+02      -0.63995351E-04      -0.12947512E-04       0.34031686E-04
   2914       0.14780562E+02      -0.64236719E-04      -0.12961500E-04       0.34046502E-04
   2915       0.14785636E+02      -0.63940267E-04      -0.12948735E-04       0.33974824E-04
   2916       0.14790710E+02      -0.64186857E-04      -0.12923114E-04       0.33990519E-04
   2917       0.14795784E+02      -0.63916233E-04      -0.12949200E-04       0.33923035E-04
   2918       0.14800858E+02      -0.64107503E-04      -0.12887737E-04       0.33929871E-04
   2919       0.14805932E+02      -0.63918552E-04      -0.12944642E-04       0.33875565E-04
   2920       0.14811006E+02      -0.64006538E-04      -0.12859167E-04       0.33865826E-04
   2921       0.14816080E+02      -0.63936611E-04      -0.12931940E-04       0.33830705E-04
   2922       0.14821154E+02      -0.63896700E-04      -0.12839663E-04       0.33800432E-04
   2923       0.14826228E+02      -0.63956283E-04      -0.12909813E-04       0.33786183E-04
   2924       0.14831302E+02      -0.63792707E-04      -0.12829445E-04       0.33736056E-04
   2925       0.14836376E+02      -0.63963112E-04      -0.12879109E-04       0.33739672E-04
   2926       0.14841450E+02      -0.63707934E-04      -0.12826641E-04       0.33674849E-04
   2927       0.14846524E+02      -0.63945571E-04      -0.12842606E-04       0.33689319E-04
   2928       0.14851598E+02      -0.63651414E-04      -0.12827717E-04       0.33618264E-04
   2929       0.14856672E+02      -0.63897648E-04      -0.12804383E-04       0.33634155E-04
   2930       0.14861746E+02      -0.63625808E-04      -0.12828275E-04       0.33566727E-04
   2931       0.14866820E+02      -0.63820193E-04      -0.12768900E-04       0.33574316E-04
   2932       0.14871894E+02      -0.63626822E-04      -0.12824042E-04       0.33519549E-04
   2933       0.14876968E+02      -0.63720711E-04      -0.12739991E-04       0.33511009E-04
   2934       0.14882042E+02      -0.63644187E-04      -0.12811834E-04       0.33475075E-04
   2935       0.14887116E+02      -0.63611658E-04      -0.12720005E-04       0.33446236E-04
   2936       0.14892190E+02      -0.63663986E-04      -0.12790269E-04       0.33431066E-04
   2937       0.14897264E+02      -0.63507633E-04      -0.12709276E-04       0.33382346E-04
   2938       0.14902338E+02      -0.63671791E-04      -0.12760074E-04       0.33385201E-04
   2939       0.14907412E+02      -0.63422084E-04      -0.12706055E-04       0.33321500E-04
   2940       0.14912486E+02      -0.63655918E-04      -0.12723918E-04       0.33335599E-04
   2941       0.14917560E+02      -0.63364284E-04      -0.12706905E-04       0.33265190E-04
   2942       0.14922634E+02      -0.63610048E-04      -0.12685805E-04       0.33281243E-04
   2943       0.14927708E+02      -0.63337257E-04      -0.12707480E-04       0.33213900E-04
   2944       0.14932782E+02      -0.63534641E-04      -0.12650173E-04       0.33222207E-04
   2945       0.14937856E+02      -0.63337107E-04      -0.12703507E-04       0.33167004E-04
   2946       0.14942930E+02      -0.63436822E-04      -0.12620893E-04       0.33159634E-04
   2947       0.14948004E+02      -0.63353909E-04      -0.12691742E-04       0.33122903E-04
   2948       0.14953078E+02      -0.63328759E-04      -0.12600397E-04       0.33095482E-04
   2949       0.14958152E+02      -0.63373961E-04      -0.12670705E-04       0.33079394E-04
   2950       0.14963226E+02      -0.63224921E-04      -0.12589135E-04       0.33032078E-04
   2951       0.14968300E+02      -0.63382872E-04      -0.12641003E-04       0.33034160E-04
   2952       0.14973374E+02      -0.63138815E-04      -0.12585480E-04       0.32971592E-04
   2953       0.14978448E+02      -0.63368807E-04      -0.12605197E-04       0.32985297E-04
   2954       0.14983522E+02      -0.63079944E-04      -0.12586095E-04       0.32915554E-04
   2955       0.14988596E+02      -0.63325146E-04      -0.12567216E-04       0.32931738E-04
   2956       0.14993670E+02      -0.63051683E-04      -0.12586691E-04       0.32864506E-04
   2957       0.14998744E+02      -0.63251962E-04      -0.12531472E-04       0.32873496E-04
   2958       0.15003818E+02      -0.63050529E-04      -0.12582993E-04       0.32817883E-04
   2959       0.15008892E+02      -0.63155994E-04      -0.12501867E-04       0.32811654E-04
   2960       0.15013966E+02      -0.63066903E-04      -0.12571702E-04       0.32774145E-04
   2961       0.15019040E+02      -0.63049119E-04      -0.12480917E-04       0.32748122E-04
   2962       0.15024114E+02      -0.63087320E-04      -0.12551241E-04       0.32731120E-04
   2963       0.15029188E+02      -0.62945664E-04      -0.12469185E-04       0.32685203E-04
   2964       0.15034262E+02      -0.63097435E-04      -0.12522101E-04       0.32686503E-04
   2965       0.15039336E+02      -0.62859179E-04      -0.12465163E-04       0.32625079E-04
   2966       0.15044410E+02      -0.63085268E-04      -0.12486730E-04       0.32638365E-04
   2967       0.15049484E+02      -0.62799387E-04      -0.12465615E-04       0.32569311E-04
   2968       0.15054558E+02      -0.63043905E-04      -0.12448978E-04       0.32585593E-04
