# Reference REAR geodetic observables for the Greenland example
# Green function from file: gf_Greenland.dat
# All rates are in units of mm/yr
#
#   Lon        Lat           Up          South          East         Geoid    
# --------  ----------  ------------  ------------  ------------  ------------
  321.0000     58.0000  0.102029E+01  0.302221E+00  0.952694E-01  -.747327E+00
  321.5000     58.0000  0.100076E+01  0.290182E+00  0.986622E-01  -.734076E+00
  322.0000     58.0000  0.981414E+00  0.278497E+00  0.101072E+00  -.720516E+00
  322.5000     58.0000  0.962392E+00  0.267265E+00  0.102671E+00  -.706756E+00
  323.0000     58.0000  0.943830E+00  0.256518E+00  0.103601E+00  -.692893E+00
  323.5000     58.0000  0.925835E+00  0.246281E+00  0.103983E+00  -.679004E+00
  324.0000     58.0000  0.908409E+00  0.236591E+00  0.103934E+00  -.665140E+00
  324.5000     58.0000  0.891593E+00  0.227410E+00  0.103543E+00  -.651350E+00
  325.0000     58.0000  0.875452E+00  0.218738E+00  0.102886E+00  -.637680E+00
  325.5000     58.0000  0.859890E+00  0.210558E+00  0.102029E+00  -.624142E+00
  326.0000     58.0000  0.844949E+00  0.202825E+00  0.101020E+00  -.610767E+00
  326.5000     58.0000  0.830585E+00  0.195528E+00  0.999004E-01  -.597566E+00
  327.0000     58.0000  0.816785E+00  0.188636E+00  0.987049E-01  -.584554E+00
  327.5000     58.0000  0.803509E+00  0.182119E+00  0.974561E-01  -.571737E+00
  328.0000     58.0000  0.790748E+00  0.175950E+00  0.961772E-01  -.559123E+00
  328.5000     58.0000  0.778458E+00  0.170111E+00  0.948810E-01  -.546715E+00
  329.0000     58.0000  0.766633E+00  0.164571E+00  0.935800E-01  -.534517E+00
  329.5000     58.0000  0.755207E+00  0.159308E+00  0.922807E-01  -.522525E+00
  330.0000     58.0000  0.744195E+00  0.154294E+00  0.909901E-01  -.510745E+00
  330.5000     58.0000  0.733533E+00  0.149528E+00  0.897135E-01  -.499169E+00
  331.0000     58.0000  0.723223E+00  0.144976E+00  0.884512E-01  -.487800E+00
  331.5000     58.0000  0.713236E+00  0.140629E+00  0.872063E-01  -.476636E+00
  332.0000     58.0000  0.703554E+00  0.136464E+00  0.859717E-01  -.465673E+00
  332.5000     58.0000  0.694161E+00  0.132481E+00  0.847602E-01  -.454911E+00
  333.0000     58.0000  0.685013E+00  0.128657E+00  0.835625E-01  -.444342E+00
  333.5000     58.0000  0.676139E+00  0.124982E+00  0.823780E-01  -.433971E+00
  334.0000     58.0000  0.667474E+00  0.121444E+00  0.812051E-01  -.423786E+00
  334.5000     58.0000  0.659056E+00  0.118034E+00  0.800422E-01  -.413793E+00
  335.0000     58.0000  0.650827E+00  0.114749E+00  0.788903E-01  -.403982E+00
  335.5000     58.0000  0.642805E+00  0.111572E+00  0.777466E-01  -.394354E+00
  336.0000     58.0000  0.634971E+00  0.108507E+00  0.766096E-01  -.384904E+00
  336.5000     58.0000  0.627314E+00  0.105532E+00  0.754789E-01  -.375630E+00
  337.0000     58.0000  0.619820E+00  0.102654E+00  0.743482E-01  -.366529E+00
  337.5000     58.0000  0.612492E+00  0.998604E-01  0.732213E-01  -.357597E+00
  338.0000     58.0000  0.605312E+00  0.971490E-01  0.720969E-01  -.348832E+00
  338.5000     58.0000  0.598286E+00  0.945130E-01  0.709697E-01  -.340232E+00
  339.0000     58.0000  0.591394E+00  0.919476E-01  0.698407E-01  -.331793E+00
  339.5000     58.0000  0.584636E+00  0.894523E-01  0.687126E-01  -.323512E+00
  340.0000     58.0000  0.578008E+00  0.870222E-01  0.675818E-01  -.315387E+00
